"filename", "language", "Java", "HTML", "JavaScript", "JSON with Comments", "XML", "comment", "blank", "total"
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\DiceFactory.iml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\DiceFactory.code-workspace", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\Factory.java", "Java", 188, 0, 0, 0, 0, 0, 0, 188
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\Main.java", "Java", 138, 0, 0, 0, 0, 0, 9, 147
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\PlayerDice.java", "Java", 80, 0, 0, 0, 0, 0, 2, 82
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\diceFactory.html", "HTML", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\frontend.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 406, 9, 0, 8, 22, 0, 13, 458
