"filename", "language", "XML", "Java", "Java Properties", "PostCSS", "JavaScript", "HTML", "JSON with Comments", "Batch", "comment", "blank", "total"
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\DiceFactory.iml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\compiler.xml", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\dictionaries\project.xml", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\encodings.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\jarRepositories.xml", "XML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\misc.xml", "XML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 139, 26, 25, 190
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\pom.xml", "XML", 57, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\Application.java", "Java", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\DiceFactory.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\GameController.java", "Java", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\GameFactory.java", "Java", 0, 190, 0, 0, 0, 0, 0, 0, 0, 2, 192
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\GameRequest.java", "Java", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\PlayerDice.java", "Java", 0, 84, 0, 0, 0, 0, 0, 0, 0, 4, 88
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\index.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 14, 48
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\main.js", "JavaScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 9, 96
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\java\spring\stylesheet.css", "PostCSS", 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\main\resources\application.properties", "Java Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\test\java\spring\ApplicationTests.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\application.properties", "Java Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\Application.class", "Java", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\DiceFactory.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\GameController.class", "Java", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\GameFactory.class", "Java", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 55
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\GameRequest.class", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\PlayerDice.class", "Java", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\index.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 14, 48
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\main.js", "JavaScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 9, 96
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\classes\spring\stylesheet.css", "PostCSS", 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\target\test-classes\spring\ApplicationTests.class", "Java", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"Total", "-", 137, 450, 5, 104, 174, 68, 16, 139, 26, 116, 1235
